decade,position,artist,song,indicativerevenue,us,uk,de,fr,ca,au
"2020s","1","The Weeknd","Blinding Lights","37510.3364934211","1","1","1","1","1","1"
"2020s","2","Dua Lipa","Don't Start Now","23668.2188996655","2","3","10","12","3","2"
"2020s","3","Roddy Ricch","The Box","22136.4507646606","1","2","12","7","1","4"
"2020s","4","Post Malone","Circles","20267.8251346739","1","19","37","77","3","5"
"2020s","5","Harry Styles","Adore You","18182.9666898472","6","7","83","126","10","7"
"2020s","6","Tones And I","Dance Monkey","17392.3188815946","4","-","1","3","1","1"
"2020s","7","Future & Drake","Life Is Good","17239.9789354454","2","3","8","33","3","11"
"2020s","8","Lewis Capaldi","Before You Go","16601.54040951","9","1","42","49","16","7"
"2020s","9","Harry Styles","Watermelon Sugar","15452.9417040693","1","4","15","31","3","5"
"2020s","10","Jawsh 685 & Jason Derulo","Savage Love (Laxed - Siren Beat)","15381.650529203","1","1","1","6","1","1"
"2020s","11","Lewis Capaldi","Someone You Loved","15276.8890847088","4","6","29","52","5","16"
"2020s","12","Maroon 5","Memories","14394.0839237126","2","13","20","15","2","4"
"2020s","13","Justin Bieber & Quavo","Intentions","14241.7217679933","5","8","23","58","4","2"
"2020s","14","DaBaby & Roddy Ricch","Rockstar","13869.6471904603","1","-","-","-","1","-"
"2020s","15","SAINt JHN","Roses","13141.0928119213","4","1","-","-","1","-"
"2020s","16","Trevor Daniel","Falling","12594.0363113312","17","14","13","21","13","13"
"2020s","17","Billie Eilish","everything i wanted","12258.1021911985","9","6","22","38","13","9"
"2020s","18","Arizona Zervas","Roxanne","11961.8175113927","4","4","27","16","3","3"
"2020s","19","Cardi B & Megan Thee Stallion","WAP","11525.3556939289","1","1","12","30","1","1"
"2020s","20","Lil Mosey","Blueberry Faygo","11390.2047711321","8","9","37","109","8","16"
"2020s","21","Jack Harlow & DaBaby, Tory Lanez & Lil Wayne","WHATS POPPIN","11119.3413902984","2","-","-","-","4","-"
"2020s","22","Dua Lipa","Break My Heart","11016.7939531628","13","6","26","56","13","7"
"2020s","23","Chris Brown & Young Thug","Go Crazy","10787.7953577305","6","10","-","-","41","9"
"2020s","24","Maren Morris","The Bones","10716.5089056259","12","-","-","-","45","-"
"2020s","25","Topic & A7s","Breaking Me","10553.5802896506","53","3","3","14","9","4"
"2020s","26","Drake","Toosie Slide","10497.9530798257","1","1","2","4","2","3"
"2020s","27","Pop Smoke & Lil Baby & DaBaby","For The Night","10293.3762380553","6","15","28","31","7","13"
"2020s","28","BTS","Dynamite","10196.8561968733","1","3","8","18","2","2"
"2020s","29","Ava Max","Kings & Queens","9371.06578635989","13","19","16","32","16","31"
"2020s","30","Lady Gaga & Ariana Grande","Rain On Me","9112.79699768668","1","1","9","12","1","2"
"2020s","31","24kGoldn & iann dior","Mood","9000.31701851126","1","-","-","-","1","-"
"2020s","32","Drake & Lil Durk","Laugh Now Cry Later","8949.27193196866","2","-","25","50","1","3"
"2020s","33","BLACKBEAR","Hot Girl Bummer","8914.26624359905","11","35","34","110","33","24"
"2020s","34","Doja Cat","Say So","8679.61571145072","9","2","33","9","4","4"
"2020s","35","Doja Cat & Nicki Minaj","Say So","8238.55348820247","1","-","-","-","3","-"
"2020s","36","SAINt JHN","Roses (Imanbek Remix)","8203.08482958259","55","-","3","2","6","1"
"2020s","37","Billie Eilish","Bad Guy","8068.67867759225","14","15","19","37","6","3"
"2020s","38","Dababy & Roddy Ricch","Rockstar","7921.42503684321","-","1","3","6","-","1"
"2020s","39","Camila Cabello & DaBaby","My Oh My","7834.82295858378","12","-","53","142","13","19"
"2020s","40","Gabby Barrett & Charlie Puth","I Hope","7654.4947576907","3","-","-","-","-","-"
"2020s","41","Roddy Ricch & Mustard","High Fashion","7556.51970768698","20","45","-","-","30","-"
"2020s","42","Eminem & Juice WRLD","Godzilla","7478.40555749574","3","1","16","45","3","3"
"2020s","43","Morgan Wallen","Chasin' You","7406.18944792959","16","-","-","-","44","-"
"2020s","44","Mustard & Roddy Ricch","Ballin'","7325.78338619179","11","37","-","-","34","-"
"2020s","45","Benee & Gus Dapperton","Supalonely","7252.55873824136","39","18","26","36","10","6"
"2020s","46","Justin Bieber & Chance The Rapper","Holy","7195.52010369034","3","7","22","125","1","4"
"2020s","47","Juice WRLD & Marshmello","Come & Go","7085.00009678132","2","9","38","146","4","4"
"2020s","48","Dan & Shay & Justin Bieber","10,000 Hours","7054.1983767562","5","-","-","-","13","19"
"2020s","49","Surfaces","Sunday Best","7035.64017108534","19","36","50","29","8","10"
"2020s","50","Halsey","You Should Be Sad","7029.25693672472","26","12","43","141","21","4"
"2020s","51","Pop Smoke & Lil Tjay","Mood Swings","6935.06372376508","17","5","30","105","14","5"
"2020s","52","The Weeknd","Heartless","6828.04066420968","4","25","77","69","11","30"
"2020s","53","Ariana Grande","Positions","6732.9066197065","1","1","9","20","1","1"
"2020s","54","Gabby Barrett","I Hope","6625.92572789804","16","-","-","-","10","-"
"2020s","55","Tate McRae","You Broke Me First","6503.32024149203","50","3","22","67","8","7"
"2020s","56","Justin Bieber","Yummy","6493.41733899102","2","5","15","21","3","4"
"2020s","57","Miley Cyrus","Midnight Sky","6467.25707119829","14","5","27","123","8","7"
"2020s","58","Mariah Carey","All I Want For Christmas Is You","6463.90244870568","1","1","1","15","1","1"
"2020s","59","Megan Thee Stallion","Savage","6428.00872189231","6","3","33","26","22","4"
"2020s","60","Selena Gomez","Lose You To Love Me","6412.1592663719","5","10","47","58","9","20"
"2020s","61","Regard","Ride It","6232.92302563495","-","11","4","13","-","6"
"2020s","62","Pop Smoke","Dior","6200.72628990182","22","33","59","48","28","48"
"2020s","63","DaBaby","BOP","6169.6232754261","12","66","-","84","27","-"
"2020s","64","Lizzo","Good As Hell","6143.30496527629","6","41","100","59","10","9"
"2020s","65","Pop Smoke","What You Know Bout Love","5990.73021055675","22","4","12","28","16","5"
"2020s","66","Powfu & beabadoobee","Death Bed","5962.19165849194","23","-","-","-","11","-"
"2020s","67","StaySolidRocky","Party Girl","5955.59388345645","21","13","61","103","15","19"
"2020s","68","Megan Thee Stallion & Beyonce","Savage","5949.76110015046","1","-","-","-","9","-"
"2020s","69","DJ Khaled & Drake","Popstar","5886.48314907568","3","11","36","101","1","10"
"2020s","70","Shawn Mendes & Camila Cabello","Senorita","5706.22705848627","11","30","36","30","8","20"
"2020s","71","Ariana Grande & Justin Bieber","Stuck With U","5685.72434015632","1","4","19","29","1","3"
"2020s","72","Karol G & Nicki Minaj","Tusa","5663.69886414718","42","-","79","6","98","-"
"2020s","73","Internet Money & Gunna & Don Toliver & NAV","Lemonade","5576.31505202123","6","-","-","-","3","-"
"2020s","74","Pop Smoke & 50 Cent & Roddy Ricch","The Woo","5540.83254445379","11","12","86","39","6","18"
"2020s","75","JP Saxe & Julia Michaels","If The World Was Ending","5451.49142108593","27","-","-","-","13","-"
"2020s","76","Blake Shelton Duet With Gwen Stefani","Nobody But You","5270.07735734015","18","-","-","-","38","-"
"2020s","77","Travi$ Scott","Highest In The Room","5211.85124548582","8","25","21","22","11","15"
"2020s","78","The Black Eyed Peas & J Balvin","RITMO (Bad Boys For Life)","5201.55856459673","26","-","-","-","31","-"
"2020s","79","Lady GaGa","Stupid Love","5172.66270033191","5","5","21","36","7","7"
"2020s","80","Juice WRLD","Wishing Well","5148.55189436696","5","15","88","-","8","14"
"2020s","81","Dua Lipa","Physical","5142.01115233752","60","3","14","30","54","9"
"2020s","82","Powfu & Beabadoobee","Death Bed","5140.4623111619","-","4","18","19","-","5"
"2020s","83","The Weeknd","In Your Eyes","5066.50092029262","16","17","68","31","13","13"
"2020s","84","Morgan Wallen","More Than My Hometown","4970.61927557782","15","-","-","-","27","-"
"2020s","85","Chris Brown & Drake","No Guidance","4947.61002960351","15","-","-","-","-","-"
"2020s","86","Lee Brice","One Of Them Girls","4927.59753357909","17","-","-","-","24","-"
"2020s","87","The Scotts","The Scotts","4880.17433837912","1","11","8","2","1","4"
"2020s","88","Jonas Brothers","What A Man Gotta Do","4872.4955594249","16","22","67","152","19","22"
"2020s","89","Kane Brown With Swae Lee & Khalid","Be Like That","4838.88755991453","19","-","-","-","6","-"
"2020s","90","Nea","Some Say","4816.05861765143","-","89","15","14","-","13"
"2020s","91","AJR","Bang!","4791.76632120512","11","-","-","-","49","-"
"2020s","92","Jason Aldean","Got What I Got","4758.83533496554","16","-","-","-","60","-"
"2020s","93","Lil Baby","Woah","4631.75332753899","15","73","-","-","43","-"
"2020s","94","Brenda Lee","Rockin' Around The Christmas Tree","4598.84631390062","2","15","16","184","2","35"
"2020s","95","surf mesa & Emilee","ily","4534.83488794321","23","-","-","-","37","-"
"2020s","96","Carly Pearce & Lee Brice","I Hope You're Happy Now","4446.60814107394","27","-","-","-","51","-"
"2020s","97","Rod Wave","Heart On Ice","4415.93958312654","25","-","-","-","77","-"
"2020s","98","Lil Baby & 42 Dugg","We Paid","4414.5094221767","10","89","-","-","42","-"
"2020s","99","DJ Khaled & Drake","Greece","4391.83600237842","8","8","28","129","3","35"
"2020s","100","Lil Baby","Emotionally Scarred","4370.02393644932","31","78","-","-","85","-"
"2020s","101","Lil Baby","Sum 2 Prove","4205.27309253821","16","94","-","-","43","-"
"2020s","102","Justin Bieber & Benny Blanco","Lonely","4204.93765226646","14","17","9","35","1","11"
"2020s","103","Maddie & Tae","Die From A Broken Heart","4204.21442045628","22","-","-","-","69","-"
"2020s","104","Marshmello & Halsey","Be Kind","4182.42313493227","29","33","54","-","18","15"
"2020s","105","Surf Mesa & Emilee","ILY (I Love You Baby)","4117.44116080946","-","22","7","12","-","17"
"2020s","106","Machine Gun Kelly & BLACKBEAR","My Ex's Best Friend","4107.48484235541","28","30","68","-","26","22"
"2020s","107","Jack Harlow","WHATS POPPIN","4076.1030079862","48","25","55","194","32","8"
"2020s","108","Wham!","Last Christmas","4020.38405904684","9","1","2","55","3","3"
"2020s","109","Luke Bryan","One Margarita","4011.25057863156","19","-","-","-","30","-"
"2020s","110","24kGoldn & Iann Dior","Mood","3949.87557927446","-","-","1","7","-","1"
"2020s","111","Moneybagg Yo","Said Sum","3949.50296320883","17","-","-","-","88","-"
"2020s","112","Jhene Aiko","P*$$y Fairy (OTW)","3909.17167632036","40","-","-","-","-","-"
"2020s","113","Sam Hunt","Hard To Forget","3900.76337502426","26","-","-","-","32","-"
"2020s","114","Ed Sheeran & Justin Bieber","I Don't Care","3878.87034388416","28","27","45","98","17","30"
"2020s","115","Bobby Helms","Jingle Bell Rock","3875.54598214745","3","27","19","-","5","41"
"2020s","116","Saweetie","Tap In","3848.49803535186","20","38","-","-","46","37"
"2020s","117","Apache 207","Roller","3836.34415106374","-","-","3","-","-","-"
"2020s","118","Jason Derulo","Take You Dancing","3823.20932555347","79","7","15","74","49","10"
"2020s","119","Rod Wave & ATR Son Son","Rags2Riches","3772.26251632137","12","-","-","-","50","-"
"2020s","120","Lil Baby","The Bigger Picture","3764.99403861129","3","54","-","-","18","-"
"2020s","121","HARDY & Lauren Alaina & Devin Dawson","One Beer","3760.14935244491","33","-","-","-","43","-"
"2020s","122","H.E.R. & YG","Slide","3712.44415532812","43","-","-","-","-","-"
"2020s","123","Sam Smith","Diamonds","3664.27702721813","40","11","69","172","24","33"
"2020s","124","Young T & Bugsey & Headie One","Don't Rush","3644.26618927932","56","19","-","31","64","-"
"2020s","125","Taylor Swift","Cardigan","3628.27687055454","1","6","67","138","3","1"
"2020s","126","Kane Brown","Homesick","3605.1826361385","35","-","-","-","78","-"
"2020s","127","Luke Combs & Eric Church","Does To Me","3566.48783469342","20","-","-","-","38","-"
"2020s","128","Luke Combs","Lovin' On You","3550.53102540078","23","-","-","-","45","-"
"2020s","129","SHAED","Trampoline","3492.28393044126","16","-","82","29","39","-"
"2020s","130","Ingrid Andress","More Hearts Than Mine","3471.43925479769","30","-","-","-","55","-"
"2020s","131","Billie Eilish","Therefore I Am","3457.47105670885","2","2","5","34","2","3"
"2020s","132","Shawn Mendes","Wonder","3452.56409180123","18","20","47","200","4","13"
"2020s","133","JACKBOYS & Young Thug","OUT WEST","3446.91357600691","38","-","-","-","29","-"
"2020s","134","Andy Williams","It's The Most Wonderful Time Of The Year","3429.01479523409","5","23","36","-","7","16"
"2020s","135","Master KG & Burna Boy & Nomcebo Zikode","Jerusalema","3410.34902938642","-","-","4","2","-","-"
"2020s","136","Russ & BIA","BEST ON EARTH","3409.11437440102","46","-","-","-","-","-"
"2020s","137","Robin Schulz & Alida","In Your Eyes","3404.65845972551","-","-","5","52","-","-"
"2020s","138","Dan & Shay","I Should Probably Go To Bed","3384.38328538008","37","-","-","-","81","-"
"2020s","139","6ix9ine","Gooba","3383.31024421412","3","6","-","7","2","14"
"2020s","140","Miranda Lambert","Bluebird","3377.31915766545","26","-","-","-","46","-"
"2020s","141","Blake Shelton & Gwen Stefani","Happy Anywhere","3365.05031822108","36","-","-","-","41","-"
"2020s","142","NLE Choppa & Roddy Ricch","Walk Em Down","3297.07347230723","38","-","-","-","49","-"
"2020s","143","Joel Corry & MNEK","Head & Heart","3288.25294475715","-","-","4","46","-","2"
"2020s","144","Conan Gray","Heather","3283.18922730888","46","17","-","-","26","13"
"2020s","145","Doja Cat & Gucci Mane","Like That","3206.28410371382","50","62","-","-","29","-"
"2020s","146","Jhene Aiko & H.E.R.","B.S.","3192.6729055213","24","64","-","-","-","-"
"2020s","147","Maluma & The Weeknd","Hawai","3180.69036688334","12","-","-","-","21","-"
"2020s","148","Lil Nas X & Billy Ray Cyrus","Old Town Road","3099.51368248919","15","34","32","22","7","16"
"2020s","149","Kane Brown","Cool Again","3092.92389029574","29","-","-","-","54","-"
"2020s","150","Dua Lipa & DaBaby","Levitating","3092.10251528475","10","-","-","-","2","-"
"2020s","151","PARTYNEXTDOOR & Rihanna","Believe It","3087.9476458579","23","12","58","48","39","28"
"2020s","152","Parker McCollum","Pretty Heart","3087.18135285145","36","-","-","-","80","-"
"2020s","153","Ariana Grande","34+35","3086.55324156531","8","9","-","95","8","9"
"2020s","154","Morgan Wallen","7 Summers","3070.9879930139","6","-","-","-","8","-"
"2020s","155","Juice WRLD","Righteous","3070.26825687416","11","26","48","186","9","15"
"2020s","156","Don Toliver","After Party","3068.86479815702","57","47","-","-","35","34"
"2020s","157","Thomas Rhett & Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban","Be A Light","3048.36423388114","42","-","-","-","74","-"
"2020s","158","Jose Feliciano","Feliz Navidad","3047.70105805245","6","40","15","-","10","-"
"2020s","159","Tones & I","Dance Monkey","3031.05699390109","-","5","-","-","-","-"
"2020s","160","Thomas Rhett & Jon Pardi","Beer Can't Fix","3010.32241780977","36","-","-","-","45","-"
"2020s","161","Khalid & Disclosure","Know Your Worth","3000.74738886373","57","27","-","-","46","31"
"2020s","162","Jordan Davis","Slow Dance In A Parking Lot","2993.93609341085","37","-","-","-","-","-"
"2020s","163","Meduza & Becky Hill & Goodboys","Lose Control","2966.96458336293","-","15","30","53","46","11"
"2020s","164","Florida Georgia Line","I Love My Country","2927.84814082761","40","-","-","-","67","-"
"2020s","165","Polo G","Martin & Gina","2877.61743331583","61","71","-","-","52","-"
"2020s","166","Drake & Giveon","Chicago Freestyle","2860.93884321039","14","10","-","62","13","-"
"2020s","167","Chris Stapleton","Starting Over","2835.11843695729","25","-","-","-","21","-"
"2020s","168","Brett Young","Catch","2809.73062236868","29","-","-","-","73","-"
"2020s","169","Ed Sheeran & Camila Cabello & Cardi B","South Of The Border","2780.05145932136","49","17","42","75","-","19"
"2020s","170","Megan Thee Stallion","Girls In The Hood","2762.36753566079","28","-","-","-","90","-"
"2020s","171","Luke Bryan","What She Wants Tonight","2758.03049728062","46","-","-","-","93","-"
"2020s","172","Billie Eilish","No Time To Die","2753.00224715339","16","1","5","26","11","4"
"2020s","173","S1mba & DTG","Rover","2744.19394315419","-","3","-","150","-","7"
"2020s","174","Jake Owen","Homemade","2734.90403065294","39","-","-","-","100","-"
"2020s","175","Doja Cat & Tyga","Juicy","2726.32288461218","41","-","-","-","57","-"
"2020s","176","Keith Urban","God Whispered Your Name","2667.4267197641","60","-","-","-","65","-"
"2020s","177","Russell Dickerson","Love You Like I Used To","2666.63291135288","31","-","-","-","60","-"
"2020s","178","Internet Money & Gunna & Don Toliver & Nav","Lemonade","2664.27694068896","-","-","2","13","-","5"
"2020s","179","Old Dominion","One Man Band","2656.03819719298","26","-","-","-","-","-"
"2020s","180","Diplo, Thomas Wesley & Morgan Wallen","Heartless","2652.86703917323","39","-","-","-","74","-"
"2020s","181","Ritt Momney","Put Your Records On","2646.12816382905","79","25","52","133","39","10"
"2020s","182","Burl Ives","A Holly Jolly Christmas","2642.11285232579","4","-","-","-","14","-"
"2020s","183","The Weeknd","After Hours","2627.76123410957","20","20","35","44","14","11"
"2020s","184","Black Eyed Peas & Ozuna + J. Rey Soul","Mamacita","2619.48152065111","-","-","31","7","-","-"
"2020s","185","Regard & Raye","Secrets","2601.53901546633","-","6","84","68","-","24"
"2020s","186","Bad Bunny & Jhay Cortez","Dakiti","2582.4446470284","5","-","-","-","73","-"
"2020s","187","YNW Melly","Suicidal","2562.33134686776","34","37","-","-","30","50"
"2020s","188","CJ","Whoopty","2560.6190335316","27","10","48","26","15","13"
"2020s","189","Lil Uzi Vert","That Way","2553.24685514086","20","47","-","-","27","-"
"2020s","190","Sam Fischer","This City","2540.65879701261","-","16","-","-","72","17"
"2020s","191","Ufo361","Emotions","2534.52248853937","-","-","1","-","-","-"
"2020s","192","Bad Bunny","Yo perreo sola","2534.13212743241","53","-","-","-","-","-"
"2020s","193","Sam Hunt","Kinfolks","2518.15629551619","34","-","-","-","70","-"
"2020s","194","Demi Lovato","I Love Me","2517.43533187261","18","35","89","-","30","-"
"2020s","195","Travis Denning","After A Few","2517.06897742369","31","-","-","-","59","-"
"2020s","196","Bad Bunny","Vete","2497.5553283628","36","-","-","-","-","-"
"2020s","197","Jameson Rodgers","Some Girls","2496.42385327249","29","-","-","-","49","-"
"2020s","198","Kelly Clarkson","Underneath The Tree","2475.97453017732","12","15","14","-","9","-"
"2020s","199","Lil Uzi Vert","Futsal Shuffle 2020","2471.85493092728","5","91","-","-","8","-"
"2020s","200","Gunna & Young Thug","Dollaz On My Head","2434.17932207382","38","84","-","162","53","-"
